,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt,target
2,600,1,1,4,6,2,10,0,0,50,0,0,0,1,0,0,0,0,0,0,0,X
3,700,1,5,1,10,6,10,3,1,75,1,1,0,1,0,1,1,0,0,1,0,BCN
4,200,1,5,1,10,6,10,3,4,75,1,1,0,1,0,1,1,0,0,1,0,BCN
5,300,1,5,0,6,10,2,3,4,25,0,0,0,1,0,0,1,0,0,0,0,C
6,600,2,1,4,10,2,6,0,0,99,0,5,0,1,0,1,1,1,0,1,1,BCFNA
7,200,1,5,1,6,6,10,1,0,50,0,0,0,1,0,0,0,0,0,0,0,X
8,500,1,5,0,6,6,10,1,2,25,0,0,0,2,0,0,1,0,0,0,0,C
9,700,1,5,2,10,6,9,0,0,100,1,1,0,1,1,1,0,1,0,0,0,GBF
10,750,2,5,1,6,1,2,0,1,50,1,0,0,1,0,1,1,0,0,0,0,BC
11,200,1,12,4,2,7,6,0,0,75,1,0,0,1,0,1,1,0,0,0,0,BC
12,200,1,1,4,2,7,1,0,0,100,2,1,0,1,1,0,0,0,0,0,0,G
13,300,1,14,2,1,2,7,0,0,100,2,1,0,1,0,1,1,0,0,0,0,BC
14,7000,1,1,1,2,6,10,3,3,50,1,5,0,1,1,0,1,0,0,0,0,GC
15,1700,1,1,1,2,6,10,0,1,100,2,2,2,1,1,1,1,0,0,0,0,GBC
16,8000,1,1,3,2,10,7,0,0,100,9,9,0,1,0,1,1,0,0,0,0,BC
17,30000,1,1,3,1,1,1,0,0,100,2,10,0,1,1,1,1,1,1,0,0,GBCFT
18,300,1,12,4,1,1,1,0,0,100,5,10,0,1,0,1,1,0,1,0,0,BCT
19,300,1,15,1,1,1,9,0,0,75,0,5,0,1,0,1,1,0,0,0,0,BC
20,1600,3,1,0,2,6,2,3,1,75,2,1,0,1,1,1,1,1,0,0,0,GBCF
21,3800,6,1,2,6,6,2,3,1,25,0,0,0,1,1,0,1,0,1,0,0,GCT
22,7000,6,1,1,6,10,2,3,4,50,0,0,0,1,1,0,1,0,0,0,0,GC
23,2500,1,1,3,10,2,6,0,1,100,0,1,0,1,1,0,1,0,0,1,0,GCN
24,800,1,1,0,1,2,7,3,4,100,2,1,0,1,0,1,1,0,0,0,0,BC
25,1700,1,1,3,10,6,2,0,0,100,0,0,0,1,0,1,1,0,0,0,0,BC
